User;Soil_name;Longitude decimal;Latitude decimal;Biome;Land_use;Date;Name_exp;Unique_ID;Pot_ID;Sample;Chber;Algae_growth;Temp;DarkLight;TeflonGlass;Flowrate_lpm;Surface(cm2);Wetsoil(g);Height(cm);GravimetricWater(gw/g);Drysoil(g);SoilVolume(cm3);Bulk density;TP;VolumetricWater;AFP;WFPS;pH;pHin;Redox;OCS_flux;OCS_flux_sd;OCS_conc_out;OCS_conc_sd;OCS_conc_in;OCS_conc_in_sd;CO2_flux_aero;CO2_flux_aero_sd;CO2_conc_out;CO2_conc_out_sd;CO2_conc_in;CO2_conc_in_sd;OCS_source;OCS_source_sd;Vd_OCS_model;z1_OCS;CA_OCS;kh_OCS;CO2_flux_TGA;CO2_flux_TGA_sd;CO2_out_ppm;CO2_out_ppm_sd;CO2_in_ppm;CO2_in_ppm_sd;d13C_flux;d13C_flux_sd;d13C_conc_out;d13C_conc_out_sd;d13C_conc_in;d13C_conc_in_sd;d18O_flux;d18O_flux_sd;d18O_conc_out;d18O_conc_out_sd;d18O_conc_in;d18O_conc_in_sd;kiso;total_biomass;bacteria_16S;fungi_18S;algae_23S;d18O_01cm;d18O_12cm;d18O_23cm;d18O_34cm;clay_content;silt_content;sand_content;C_N_ratio;Comments
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_2_D1_d;LCGE_2;LCGE;5;y;25;Light;Glass;0,25;61,51;393;5;0,24;316,73;307,55;1,03;0,61;0,25;0,36;0,41;6,39;NA;276;-0,898;0,069;1071,78;1,182;1101,485;1,108;-0,344;0,001;418,685;0,008;430,051;0,016;NA;NA;0,0175;0,068;1,7;0,0032;-0,416;0,004;418,021;0,061;431,794;0,061;-90,88;10,459;-38,788;0,192;-40,456;0,147;-186,364;11,813;-22,561;0,2;-27,811;0,184;0,02407;79243;30376145230,01;239442864,12;6480274593,16;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_4_D1_d;LCGE_4;LCGE;6;y;25;Light;Glass;0,25;61,51;393;4,9;0,25;315,06;301,4;1,05;0,61;0,26;0,35;0,43;6,35;NA;267;-1,093;0,128;1066,367;2,039;1102,524;2,183;0,084;0,001;433,957;0,011;431,164;0,029;NA;NA;0,0186;0,0623;1,8;0,0034;0,044;0,004;432,875;0,061;431,436;0,06;446,684;126,068;-38,941;0,202;-40,353;0,174;1552,807;125,487;-22,377;0,212;-27,062;0,171;0,01999;40865,3;12621737776,37;123409701,43;3746203802,14;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_6_D1_d;LCGE_6;LCGE;7;y;25;Light;Glass;0,25;61,51;393;5,1;0,24;317,33;313,7;1,01;0,62;0,24;0,38;0,39;6,45;NA;260;-0,574;0,118;1084,574;1,938;1103,571;1,955;-0,157;0,001;424,653;0,01;429,858;0,018;NA;NA;0,0094;0,1036;0,9;0,0016;-0,206;0,004;424,771;0,062;431,572;0,057;-162,388;21,303;-38,242;0,167;-40,197;0,168;-369,015;21,57;-21,831;0,152;-27,331;0,192;0,02291;51746,8;11637632076,6;124583887,74;5801959832,37;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_N_a;LCGE_1;LCGE;1;n;25;Dark;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;-0,662;0,089;1074,408;1,361;1096,299;1,583;0,397;0,001;443,502;0,01;430,367;0,014;NA;NA;0,0136;0,0748;1,3;0,0024;0,389;0,003;444,662;0,043;431,806;0,048;-30,112;12,917;-40,067;0,164;-40,364;0,212;42,89;11,489;-25,108;0,177;-27,118;0,157;0,00473;33514,3;7981613198,3;96056286,28;544566948,08;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_3_N_a;LCGE_3;LCGE;2;n;25;Dark;Glass;0,25;61,51;393;4,9;0,24;317,74;301,4;1,05;0,6;0,25;0,35;0,41;6,14;NA;280;-0,194;0,084;1086,386;1,542;1092,798;1,228;0,428;0,001;444,742;0,013;430,573;0,012;NA;NA;0,006;0,1177;0,6;0,001;0,416;0,004;445,409;0,05;431,64;0,076;-34,451;10,828;-39,935;0,162;-40,107;0,178;9,524;11,318;-26,281;0,181;-27,425;0,173;0,00259;29323,2;6850109540,22;78510892,21;288742904,93;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_5_N_a;LCGE_5;LCGE;3;n;25;Dark;Glass;0,25;61,51;393;4,9;0,25;315,1;301,4;1,05;0,61;0,26;0,35;0,43;6,16;NA;273;-0,367;0,065;1082,935;1,17;1095,085;0,997;0,456;0,001;445,522;0,008;430,441;0,023;NA;NA;0,008;0,1004;0,7;0,0013;0,421;0,004;445,685;0,067;431,742;0,058;-19,643;10,521;-39,464;0,177;-40,106;0,156;26,875;10,959;-25,223;0,183;-26,892;0,165;0,00187;41294,3;9970559516,91;222490429,26;493676834,09;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_2_N_a;LCGE_2;LCGE;5;y;25;Dark;Glass;0,25;61,51;393;5;0,24;316,73;307,55;1,03;0,61;0,25;0,36;0,41;6,39;NA;276;-1,237;0,079;1061,032;1,441;1101,955;1,165;1,075;0,001;466,038;0,008;430,485;0,017;NA;NA;0,0275;0,0517;3;0,0055;1,123;0,003;469,026;0,058;431,876;0,05;-29,526;3,941;-39,339;0,159;-40,182;0,167;59,071;4,046;-20,15;0,166;-26,959;0,168;0,03958;79243;30376145230,01;239442864,12;6480274593,16;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_4_N_a;LCGE_4;LCGE;6;y;25;Dark;Glass;0,25;61,51;393;4,9;0,25;315,06;301,4;1,05;0,61;0,26;0,35;0,43;6,35;NA;267;-1,554;0,082;1044,614;1,384;1096,011;1,32;0,963;0,002;463,418;0,061;431,561;0,021;NA;NA;0,0314;0,0449;3,6;0,0066;0,919;0,004;462,201;0,061;431,792;0,069;-25,056;5,303;-39,173;0,162;-40,164;0,2;57,06;5,565;-21,396;0,175;-26,916;0,204;0,01986;40865,3;12621737776,37;123409701,43;3746203802,14;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_6_N_a;LCGE_6;LCGE;7;y;25;Dark;Glass;0,25;61,51;393;5,1;0,24;317,33;313,7;1,01;0,62;0,24;0,38;0,39;6,45;NA;260;-0,947;0,08;1068,098;1,088;1099,413;1,574;1,208;0,001;469,916;0,01;429,943;0,016;NA;NA;0,0209;0,0662;2,1;0,004;1,114;0,004;468,939;0,052;432,076;0,065;-30,468;3,961;-39,317;0,155;-40,073;0,17;58,564;4,765;-20,307;0,18;-27,031;0,21;0,0228;51746,8;11637632076,6;124583887,74;5801959832,37;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
Joana;La Cage;NA;NA;Temperate;Cropland;25/05/2016;Algae;LCGE_1_N_b;LCGE_1;LCGE;1;n;25;Dark;Glass;0,25;61,51;393;4,9;0,25;314,59;301,4;1,04;0,61;0,26;0,35;0,43;6,14;NA;285;-2,374;0,106;448,843;1,848;527,381;1,665;1,387;0,003;440,484;0,074;394,585;0,03;NA;NA;0,0136;0,0748;1,3;0,0024;0,224;0,005;442,518;0,107;435,096;0,061;-37,878;27,545;-4,111;0,192;-3,517;0,189;11,995;28,751;-12,908;0,183;-13,299;0,194;0,00473;33514,3;7981613198,3;96056286,28;544566948,08;NA;NA;NA;NA;16,9;64,7;18,4;10,4;NA
