DEFINED OTU	PHYLUM	CLASS	ORDER	FAMILY	GENUS
OTU7203	Chytridiomycota(1)	Monoblepharidomycetes(1)	Monoblepharidales(1)	Harpochytriaceae(1)	Harpochytrium(1)
OTU7204	Chytridiomycota(1)	Chytridiomycetes(1)	Chytridiales(1)	Chytridiaceae(1)	Chytriomyces(1)
OTU7205	Ascomycota(1)	Dothideomycetes(1)	Capnodiales(1)	Mycosphaerellaceae(1)	Ramularia(1)
OTU7206	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7207	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7208	Basidiomycota(1)	Agaricomycetes(1)	Boletales(1)	Serpulaceae(1)	Serpula(1)
OTU7209	Chytridiomycota(1)	Chytridiomycetes(1)	Chytridiales(1)	Unclassified(1)	Unclassified(1)
OTU7210	Basidiomycota(1)	Tremellomycetes(1)	Tremellales(1)	Unclassified(1)	Cryptococcus(1)
OTU7211	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7212	Ascomycota(1)	Eurotiomycetes(1)	Chaetothyriales(1)	Herpotrichiellaceae(1)	Exophiala(1)
OTU7213	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7214	Glomeromycota(1)	Glomeromycetes(1)	Diversisporales(1)	Scutellosporaceae(1)	Scutellospora(1)
OTU7215	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7216	Ascomycota(1)	Eurotiomycetes(1)	Onygenales(1)	Onygenaceae(1)	Onygena(1)
OTU7217	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7218	Basidiomycota(1)	Agaricomycetes(1)	Unknown(1)	Environmental(1)	Caloscypha(1)
OTU7219	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7220	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7221	Ascomycota(1)	Eurotiomycetes(1)	Eurotiales(1)	Trichocomaceae(1)	Penicillium(1)
OTU7222	Chytridiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)
OTU7223	Unclassified(1)	Unclassified(1)	Mucorales(1)	Mucoraceae(1)	Absidia(1)
OTU7224	Ascomycota(1)	Saccharomycetes(1)	Saccharomycetales(1)	Saccharomycetaceae(1)	Zygosaccharomyces(1)
OTU7225	Basidiomycota(1)	Agaricomycetes(1)	Agaricales(1)	Environmental(1)	Environmental(1)
OTU7226	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7227	Chytridiomycota(1)	Chytridiomycetes(1)	Rhizophydiales(1)	Rhizophydiaceae(1)	Rhizophydium(1)
OTU7228	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
OTU7229	Basidiomycota(1)	Unclassified(1)	Unclassified(1)	Unclassified(1)	Glaciozyma(1)
OTU7230	Basidiomycota(1)	Agaricomycetes(1)	Auriculariales(1)	Unclassified(1)	Unclassified(1)
OTU7231	Glomeromycota(1)	Glomeromycetes(1)	Glomerales(1)	Glomeraceae(1)	Glomus(1)
OTU7232	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)	Environmental(1)
OTU7233	Ascomycota(1)	Leotiomycetes(1)	Helotiales(1)	Unclassified(1)	Collophora(1)
OTU7234	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)	Unknown(1)
